name,Type,Orbit (AU),e,Value ($),Est. Profit ($),Δv (km/s),Group
Pirola,C,3.12,0.181,>100 trillion,>100 trillion,10.054,MBA
Carlova,C,3.008,0.176,>100 trillion,>100 trillion,10.508,MBA
Bondia,B,3.122,0.182,>100 trillion,>100 trillion,10.064,MBA
Borrelly,B,3.145,0.19,>100 trillion,>100 trillion,10.042,MBA
Aglaja,B,2.881,0.13,34.60 billion,2.23 billion,,MBA
Sorga,Xe,2.988,0.141,>100 trillion,>100 trillion,10.56,MBA
Athalia,Cb,3.12,0.175,>100 trillion,>100 trillion,10.086,MBA
Berbericia,Cgh,2.931,0.165,>100 trillion,>100 trillion,11.3,MBA
Tekmessa,Xc,3.148,0.198,>100 trillion,>100 trillion,10.08,MBA
Marianna,C,3.085,0.25,>100 trillion,>100 trillion,10.608,MBA
Beethoven,C,3.151,0.191,>100 trillion,>100 trillion,10.066,MBA
Hippo,C,2.89,0.105,>100 trillion,>100 trillion,11.768,MBA
Huenna,C,3.143,0.18,>100 trillion,>100 trillion,10.087,MBA
Eurykleia,Ch,2.878,0.044,>100 trillion,>100 trillion,,MBA
Hilaritas,B,3.09,0.14,>100 trillion,>100 trillion,10.2,MBA
Kolga,Cb,2.894,0.091,>100 trillion,>100 trillion,,MBA
Charlotte,Xe,3.057,0.154,>100 trillion,>100 trillion,10.402,MBA
Naema,C,2.938,0.07,>100 trillion,>100 trillion,11.036,MBA
Nephele,B,3.14,0.17,>100 trillion,>100 trillion,10.136,MBA
Ute,X,3.052,0.182,>100 trillion,>100 trillion,10.596,MBA
Hammonia,C,2.993,0.055,>100 trillion,>100 trillion,10.568,MBA
Psyche,X,2.924,0.134,27.67 billion,1.78 billion,,MBA
Virtus,Ch,2.986,0.065,>100 trillion,>100 trillion,10.631,MBA
May,X,2.968,0.07,>100 trillion,>100 trillion,10.786,MBA
Rusthawelia,P,3.178,0.194,>100 trillion,>100 trillion,10.098,MBA
Bathseba,K,3.022,0.133,>100 trillion,>100 trillion,10.597,MBA
Leukothea,C,2.994,0.226,>100 trillion,>100 trillion,,MBA
Hypatia,Ch,2.907,0.09,37.42 billion,2.41 billion,,MBA
Edwin,Xe,2.983,0.065,>100 trillion,>100 trillion,10.682,MBA
Valeria,L,2.977,0.123,>100 trillion,>100 trillion,10.929,MBA
Janina,B,3.14,0.167,>100 trillion,>100 trillion,10.166,MBA
Kalliope,X,2.915,0.098,7.88 billion,506.99 million,,MBA
Charybdis,C,3.003,0.066,>100 trillion,>100 trillion,10.612,MBA
Vilas,Ch,3.132,0.158,>100 trillion,>100 trillion,10.216,MBA
Rauma,K,3.007,0.092,>100 trillion,>100 trillion,10.714,MBA
Edisona,K,3.013,0.118,>100 trillion,>100 trillion,10.76,MBA
Dodona,M,3.122,0.172,>100 trillion,>100 trillion,10.328,MBA
Turandot,C,3.187,0.219,>100 trillion,>100 trillion,10.252,MBA
Tatsuo,K,3.019,0.093,>100 trillion,>100 trillion,10.663,MBA
Elyna,K,3.015,0.086,>100 trillion,>100 trillion,10.675,MBA
Dorothea,K,3.013,0.098,>100 trillion,>100 trillion,10.738,MBA
Tombaugh,Xc,3.024,0.102,>100 trillion,>100 trillion,10.683,MBA
Whittemora,M,3.169,0.232,>100 trillion,>100 trillion,10.409,MBA
Rarahu,K,3.017,0.108,>100 trillion,>100 trillion,10.772,MBA
Schalen,D,3.094,0.116,15.81 billion,1.18 billion,10.35,MBA
Tauris,C,3.153,0.307,>100 trillion,>100 trillion,11.367,MBA
Hesperia,X,2.977,0.17,5.58 billion,358.91 million,,MBA
Thekla,Ch,3.046,0.062,>100 trillion,>100 trillion,10.51,MBA
Jena,B,3.122,0.134,>100 trillion,>100 trillion,10.293,MBA
Centesima,K,3.014,0.084,>100 trillion,>100 trillion,10.784,MBA
Koussevitzky,K,3.027,0.118,>100 trillion,>100 trillion,10.803,MBA
Erminia,C,2.923,0.05,>100 trillion,>100 trillion,13.142,MBA
Miune,X,3.007,0.067,>100 trillion,>100 trillion,10.833,MBA
Theobalda,C,3.183,0.254,>100 trillion,>100 trillion,10.543,MBA
Hannibal,Ch,3.125,0.22,>100 trillion,>100 trillion,10.681,MBA
Marlu,P,3.11,0.237,>100 trillion,>100 trillion,11.027,MBA
Pieters,K,3.022,0.097,>100 trillion,>100 trillion,10.887,MBA
Washingtonia,C,3.17,0.27,>100 trillion,>100 trillion,10.834,MBA
Sidonia,K,3.012,0.078,>100 trillion,>100 trillion,10.931,MBA
Oriola,C,3.014,0.034,>100 trillion,>100 trillion,10.816,MBA
Laurentia,Ch,3.017,0.181,>100 trillion,>100 trillion,,MBA
Nuwa,Cb,2.983,0.123,15.32 billion,985.08 million,,MBA
Adzhimushkaj,K,3.005,0.045,>100 trillion,>100 trillion,11.071,MBA
Angelica,Xc,3.154,0.282,>100 trillion,>100 trillion,11.446,MBA
Makarenko,Xc,3.012,0.061,>100 trillion,63.11 trillion,11.06,MBA
Ruth,M,3.015,0.036,>100 trillion,>100 trillion,10.968,MBA
Cloelia,K,3.018,0.035,>100 trillion,>100 trillion,10.976,MBA
Tergeste,L,3.016,0.083,>100 trillion,>100 trillion,11.147,MBA
Zhangguoxi,K,3.018,0.032,>100 trillion,>100 trillion,11.013,MBA
Freda,C,3.129,0.271,>100 trillion,>100 trillion,12.155,MBA
Berenike,K,3.014,0.04,>100 trillion,>100 trillion,11.142,MBA
Natalie,C,3.132,0.188,>100 trillion,>100 trillion,10.722,MBA
Millis,B,3.128,0.103,>100 trillion,>100 trillion,10.431,MBA
Asta,C,3.071,0.144,>100 trillion,>100 trillion,11.004,MBA
Interamnia,B,3.058,0.155,644.19 billion,43.66 billion,11.379,MBA
Sniadeckia,C,3.002,0.005,>100 trillion,>100 trillion,11.494,MBA
Norma,B,3.19,0.15,>100 trillion,>100 trillion,10.319,MBA
Isolda,Ch,3.041,0.161,38.25 billion,2.46 billion,,MBA
Bernardina,X,3.143,0.154,>100 trillion,>100 trillion,10.58,MBA
Eos,K,3.011,0.104,50.54 billion,3.25 billion,,MBA
Pafuri,X,3.128,0.143,>100 trillion,>100 trillion,10.634,MBA
Chalonge,Ch,3.123,0.186,>100 trillion,>100 trillion,10.941,MBA
Malabar,Ch,2.988,0.049,>100 trillion,>100 trillion,13.114,MBA
Lomia,X,2.99,0.028,5.97 billion,383.53 million,,MBA
Pales,Ch,3.105,0.222,48.99 billion,3.15 billion,,MBA
Quintilla,M,3.182,0.138,>100 trillion,>100 trillion,10.382,MBA
Tanete,C,2.999,0.092,>100 trillion,>100 trillion,13.798,MBA
Klotilde,C,3.173,0.161,>100 trillion,>100 trillion,10.509,MBA
Ani,C,3.124,0.193,>100 trillion,>100 trillion,11.126,MBA
Palma,B,3.15,0.259,>100 trillion,>100 trillion,11.988,MBA
Isergina,C,3.141,0.12,>100 trillion,>100 trillion,10.561,MBA
Semele,C,3.107,0.215,>100 trillion,>100 trillion,,MBA
Persephone,X,3.054,0.075,>100 trillion,>100 trillion,11.225,MBA
Etheridgea,C,3.029,0.097,>100 trillion,>100 trillion,,MBA
The NORC,C,3.191,0.229,>100 trillion,>100 trillion,10.908,MBA
Carnegia,Xk,3.093,0.067,>100 trillion,>100 trillion,10.836,MBA
Arethusa,Ch,3.065,0.153,>100 trillion,>100 trillion,,MBA
Meliboea,C,3.123,0.212,65.95 billion,4.24 billion,,MBA
Germania,B,3.05,0.103,>100 trillion,>100 trillion,,MBA
Radek,D,3.182,0.21,7.29 billion,514.60 million,10.927,MBA
Elektra,Ch,3.125,0.209,56.90 billion,3.66 billion,,MBA
Diotima,C,3.066,0.036,>100 trillion,>100 trillion,11.224,MBA
Eucharis,Xk,3.126,0.206,>100 trillion,>100 trillion,,MBA
Kreusa,C,3.167,0.158,>100 trillion,>100 trillion,10.791,MBA
Lorraine,Xc,3.096,0.071,>100 trillion,>100 trillion,11.047,MBA
Finsen,C,3.13,0.151,>100 trillion,>100 trillion,11.123,MBA
Zappala,T,3.134,0.153,35.65 billion,2.47 billion,11.137,MBA
Ara,M,3.146,0.201,>100 trillion,>100 trillion,11.575,MBA
Davida,C,3.165,0.188,>100 trillion,>100 trillion,11.145,MBA
Euphrosyne,Cb,3.155,0.221,143.32 billion,9.21 billion,,MBA
Melusina,C,3.121,0.138,>100 trillion,>100 trillion,11.276,MBA
Lictoria,Xc,3.184,0.124,>100 trillion,>100 trillion,10.623,MBA
Maritima,C,3.137,0.176,>100 trillion,>100 trillion,11.515,MBA
Filipenko,C,3.181,0.204,>100 trillion,>100 trillion,11.216,MBA
Messalina,Cb,3.203,0.17,>100 trillion,>100 trillion,10.748,OMB
Andromache,Cg,3.183,0.233,>100 trillion,>100 trillion,,MBA
Fatme,X,3.124,0.052,>100 trillion,>100 trillion,10.992,MBA
Laodica,X,3.154,0.1,>100 trillion,>100 trillion,10.874,MBA
Europa,C,3.093,0.11,220.94 billion,14.19 billion,,MBA
Ornamenta,C,3.111,0.159,>100 trillion,>100 trillion,12.702,MBA
Imatra,C,3.111,0.095,>100 trillion,>100 trillion,11.469,MBA
Erato,Ch,3.135,0.168,>100 trillion,>100 trillion,,MBA
Clara,L,3.197,0.123,>100 trillion,>100 trillion,10.719,MBA
Bredichina,C,3.177,0.16,>100 trillion,>100 trillion,11.124,MBA
Farinella,D,3.204,0.151,10.15 billion,723.18 million,10.812,OMB
Aemilia,Ch,3.103,0.107,>100 trillion,>100 trillion,,MBA
Kamenyar,Ch,3.164,0.096,>100 trillion,>100 trillion,10.892,MBA
Vundtia,C,3.142,0.077,>100 trillion,>100 trillion,11.104,MBA
Ursula,Xc,3.128,0.105,>100 trillion,>100 trillion,11.524,MBA
Klymene,Ch,3.145,0.161,>100 trillion,>100 trillion,,MBA
Antiope,C,3.15,0.166,>100 trillion,>100 trillion,,MBA
Veritas,Ch,3.172,0.094,>100 trillion,>100 trillion,10.91,MBA
Ophelia,C,3.129,0.132,>100 trillion,>100 trillion,,MBA
Tanjiazhen,C,3.177,0.087,>100 trillion,>100 trillion,10.855,MBA
Thomana,Cgh,3.172,0.1,>100 trillion,>100 trillion,10.949,MBA
Pulcova,C,3.153,0.106,>100 trillion,>100 trillion,11.201,MBA
Byblis,X,3.166,0.18,>100 trillion,>100 trillion,,MBA
Nerthus,C,3.135,0.104,>100 trillion,>100 trillion,11.57,MBA
Silesia,Ch,3.126,0.111,>100 trillion,>100 trillion,,MBA
Doris,Ch,3.11,0.072,57.85 billion,3.71 billion,,MBA
Vincentina,Ch,3.146,0.056,>100 trillion,>100 trillion,11.168,MBA
Aletheia,X,3.133,0.129,7.81 billion,501.66 million,,MBA
Themis,B,3.136,0.125,52.83 billion,3.39 billion,,MBA
Bettina,Xk,3.143,0.135,>100 trillion,>100 trillion,,MBA
Nata,Ch,3.163,0.054,>100 trillion,>100 trillion,11.011,MBA
Edna,C,3.197,0.197,>100 trillion,>100 trillion,11.942,MBA
Tjossem,Cg,3.173,0.074,>100 trillion,>100 trillion,11.03,MBA
Harris,T,3.122,0.068,4.59 billion,305.67 million,11.565,MBA
Loreley,Cb,3.126,0.086,168.40 billion,10.81 billion,,MBA
Philippa,C,3.118,0.026,>100 trillion,>100 trillion,11.799,MBA
Jean-Jacques,M,3.125,0.048,>100 trillion,>100 trillion,11.72,MBA
Hygiea,C,3.142,0.112,750.20 billion,48.17 billion,,MBA
Lachesis,C,3.12,0.052,>100 trillion,>100 trillion,,MBA
Aristophanes,Ch,3.169,0.052,>100 trillion,>100 trillion,11.064,MBA
Iduna,Ch,3.181,0.171,>100 trillion,>100 trillion,,MBA
Gedania,C,3.195,0.097,>100 trillion,>100 trillion,10.986,MBA
Brambilla,Cgh,3.161,0.081,>100 trillion,>100 trillion,11.365,MBA
Kharadze,Ch,3.173,0.056,>100 trillion,>100 trillion,11.157,MBA
Dione,Cgh,3.186,0.162,25.61 billion,1.64 billion,,MBA
Comacina,C,3.153,0.047,>100 trillion,>100 trillion,11.47,MBA
Christa,Xc,3.205,0.087,>100 trillion,>100 trillion,10.995,OMB
Aurora,C,3.157,0.094,60.78 billion,3.90 billion,,MBA
Sundmania,X,3.192,0.058,>100 trillion,>100 trillion,11.095,MBA
Uzbekistania,Xk,3.195,0.067,>100 trillion,>100 trillion,11.094,MBA
Leontina,X,3.203,0.069,>100 trillion,>100 trillion,11.025,OMB
Protogeneia,C,3.141,0.026,106.04 billion,6.81 billion,,MBA
Spiridonia,P,3.171,0.075,>100 trillion,>100 trillion,11.729,MBA
Dido,Xc,3.147,0.056,5.06 billion,324.78 million,,MBA
Princetonia,C,3.163,0.008,>100 trillion,>100 trillion,11.705,MBA
Heidelberga,M,3.216,0.157,>100 trillion,>100 trillion,,OMB
Arosa,X,3.196,0.118,>100 trillion,>100 trillion,11.985,MBA
Caltech,Xc,3.172,0.105,>100 trillion,>100 trillion,14.284,MBA
Aralia,Xk,3.212,0.112,>100 trillion,>100 trillion,11.575,OMB
Helio,B,3.202,0.145,>100 trillion,>100 trillion,13.103,OMB
Tugela,Xc,3.229,0.148,>100 trillion,>100 trillion,11.83,OMB
Undina,Xc,3.186,0.105,4.88 billion,312.95 million,,MBA
Carina,C,3.189,0.087,>100 trillion,>100 trillion,12.113,MBA
Myrrha,Cb,3.225,0.09,>100 trillion,>100 trillion,11.304,OMB
Elfriede,C,3.191,0.07,>100 trillion,>100 trillion,11.93,MBA
Dejopeja,X,3.188,0.066,>100 trillion,>100 trillion,,MBA
Bertha,C,3.196,0.077,71.69 billion,4.60 billion,,MBA
Kartvelia,Xc,3.217,0.117,>100 trillion,>100 trillion,12.037,OMB
Alikoski,C,3.212,0.083,>100 trillion,>100 trillion,11.921,OMB
Iclea,Ch,3.196,0.028,>100 trillion,>100 trillion,,MBA
Cincinnati,Xk,3.421,0.314,>100 trillion,48.90 trillion,15.198,OMB
Harimaya-Bashi,Xc,3.204,0.066,>100 trillion,>100 trillion,12.128,OMB
Alauda,B,3.192,0.017,>100 trillion,>100 trillion,12.758,MBA
Henrietta,C,3.394,0.264,>100 trillion,>100 trillion,,OMB
Gerda,L,3.225,0.032,>100 trillion,>100 trillion,,OMB
Tauntonia,Xk,3.21,0.034,>100 trillion,>100 trillion,12.917,OMB
Stereoskopia,C,3.376,0.119,>100 trillion,>100 trillion,10.768,OMB
Tchaikovsky,D,3.401,0.181,21.49 billion,1.49 billion,11.124,OMB
Luscinia,C,3.404,0.157,>100 trillion,>100 trillion,10.971,OMB
Kythera,T,3.422,0.119,725.75 billion,52.03 billion,10.735,OMB
Lydina,C,3.406,0.106,>100 trillion,>100 trillion,11.139,OMB
Tisiphone,C,3.352,0.092,>100 trillion,>100 trillion,12.297,OMB
Herrick,C,3.439,0.126,>100 trillion,>100 trillion,11.031,OMB
Scheherezade,P,3.363,0.057,>100 trillion,>100 trillion,11.752,OMB
Dubiago,D,3.412,0.069,52.24 billion,3.63 billion,11.081,OMB
Freia,X,3.413,0.166,5.14 billion,329.52 million,,OMB
Pretoria,P,3.408,0.152,>100 trillion,>100 trillion,12.263,OMB
Sibylla,Ch,3.372,0.074,36.21 billion,2.32 billion,,OMB
Tone,P,3.36,0.051,>100 trillion,>100 trillion,12.221,OMB
Riga,Cb,3.358,0.056,>100 trillion,>100 trillion,13.06,OMB
Bertholda,P,3.415,0.03,>100 trillion,>100 trillion,11.309,OMB
Cybele,Xc,3.426,0.112,15.79 billion,1.01 billion,,OMB
Hermione,Ch,3.452,0.132,43.45 billion,2.79 billion,,OMB
Abastumani,P,3.438,0.035,>100 trillion,>100 trillion,12.789,OMB
Sylvia,X,3.483,0.093,14.73 billion,943.99 million,,OMB
Pushkin,D,3.497,0.031,14.16 billion,961.24 million,11.328,OMB
Liriope,Cg,3.507,0.072,>100 trillion,>100 trillion,11.417,OMB
Tabora,D,3.553,0.117,86.91 billion,5.99 billion,11.165,OMB
Camilla,X,3.492,0.065,11.22 billion,719.15 million,,OMB
El Leoncito,D,3.634,0.042,31.17 billion,2.09 billion,11.483,OMB
Kirkwood,D,3.923,0.24,21.67 billion,1.57 billion,10.629,OMB
Mauderli,D,3.958,0.22,18.81 billion,1.34 billion,10.797,OMB
Oda,D,3.756,0.092,37.16 billion,2.46 billion,11.579,OMB
Simeisa,P,3.945,0.188,>100 trillion,>100 trillion,10.924,OMB
Brouwer,D,3.95,0.208,50.77 billion,3.52 billion,11.085,OMB
Venusia,P,4.006,0.216,>100 trillion,>100 trillion,10.834,OMB
Francette,X,3.951,0.191,>100 trillion,>100 trillion,11.123,OMB
Aksnes,P,3.964,0.182,>100 trillion,>100 trillion,10.987,OMB
Schubart,P,3.973,0.171,>100 trillion,>100 trillion,11.021,OMB
Hidalgo,D,5.741,0.661,11.40 billion,576.08 million,15.188,CEN
Bus,T,3.969,0.161,32.62 billion,2.25 billion,11.13,OMB
Duboshin,D,3.961,0.157,26.16 billion,1.80 billion,11.171,OMB
Rollandia,D,3.902,0.1,239.75 billion,16.26 billion,11.316,OMB
Cunningham,P,3.943,0.17,>100 trillion,>100 trillion,11.572,OMB
Normannia,D,3.897,0.079,66.05 billion,4.43 billion,11.447,OMB
Oulu,P,3.959,0.144,>100 trillion,>100 trillion,11.295,OMB
Larissa,P,3.932,0.107,>100 trillion,>100 trillion,11.291,OMB
Rita,P,3.996,0.158,>100 trillion,>100 trillion,11.298,OMB
Chicago,C,3.89,0.024,>100 trillion,>100 trillion,11.704,OMB
Ismene,X,3.986,0.166,>100 trillion,>100 trillion,,OMB
Bowell,D,3.955,0.093,23.59 billion,1.57 billion,11.529,OMB
Libya,P,3.974,0.102,>100 trillion,>100 trillion,11.414,OMB
Hilda,X,3.98,0.14,>100 trillion,>100 trillion,,OMB
Thule,X,4.283,0.04,>100 trillion,>100 trillion,,OMB
Priamus,D,5.182,0.123,214.62 billion,13.38 billion,12.263,TJN
Peiroos,D,5.147,0.077,136.25 billion,8.04 billion,12.953,TJN
Pandarus,D,5.182,0.069,85.09 billion,5.32 billion,12.228,TJN
Deiphobus,D,5.127,0.044,343.23 billion,17.66 billion,14.853,TJN
Antenor,D,5.15,0.016,193.48 billion,11.73 billion,12.61,TJN
Antilochus,D,5.132,0.052,267.86 billion,13.55 billion,15.106,TJN
Mentor,X,5.143,0.07,>100 trillion,>100 trillion,14.345,TJN
Patroclus,P,5.216,0.138,>100 trillion,>100 trillion,13.628,TJN
Alcathous,D,5.18,0.067,305.20 billion,17.63 billion,13.23,TJN
Paris,T,5.221,0.127,1.82 trillion,94.84 billion,14.641,TJN
Aneas,D,5.219,0.104,341.49 billion,19.96 billion,13.075,TJN
Phereclos,D,5.212,0.046,176.01 billion,10.88 billion,12.359,TJN
Anchises,P,5.292,0.138,>100 trillion,>100 trillion,12.121,TJN
Odysseus,D,5.248,0.09,312.85 billion,19.62 billion,12.186,TJN
Cebriones,D,5.213,0.037,183.66 billion,8.83 billion,15.899,TJN
Hektor,D,5.26,0.023,2.37 trillion,132.44 billion,13.653,TJN
Agamemnon,D,5.278,0.066,467.42 billion,25.59 billion,13.956,TJN
Chiron,Cb,13.669,0.38,>100 trillion,>100 trillion,11.922,CEN
Chariklo,D,15.842,0.171,5.72 trillion,305.43 billion,14.258,CEN
2002 EC,X,2.149,0.519,48.34 million,8.21 million,5.977,AMO
Golevka,Q,2.502,0.605,35.51 million,5.03 million,6.441,APO (PHA)
1991 BN,Q,1.443,0.398,33.42 million,6.97 million,5.571,APO (PHA)
1999 VQ5,Q,2.422,0.433,29.07 million,1.64 million,13.739,MCA
2000 PG3,D,2.824,0.856,15.39 million,1.07 million,11.205,APO
2002 AL31,X,1.177,0.248,10.58 million,2.41 million,5.412,APO
1984 BC,D,3.494,0.533,8.16 million,610347.4187,10.34,OMB
2000 AC6,Q,0.853,0.286,1.30 million,148811.8865,7.317,ATE (PHA)
2001 SK162,T,1.926,0.474,726094.4661,148518.8733,5.598,APO (PHA)
2001 AE2,T,1.35,0.082,132253.4537,28914.58507,5.485,AMO
Aegle,T,3.051,0.141,61960,3981.251333,,MBA
2001 UU92,T,3.171,0.668,38142.31268,4300.143476,7.287,AMO
2001 YE1,T,1.912,0.501,14501.30283,2547.227037,5.905,APO
2001 SG286,D,1.358,0.347,2420.770465,486.8816269,5.64,APO (PHA)
2002 AT4,D,1.867,0.446,1599.387185,334.4927519,5.557,AMO (PHA)
Herculina,S,2.773,0.175,0,0,10.733,MBA
Eleonora,Sl,2.799,0.114,0,0,11.417,MBA
Papagena,S,2.894,0.229,0,0,10.45,MBA
Dembowska,R,2.923,0.092,0,0,10.493,MBA
Harmonia,S,2.267,0.047,0,0,,MBA
Fides,S,2.642,0.176,0,0,,MBA
Rachele,S,2.923,0.195,0,0,10.484,MBA
Alkeste,S,2.631,0.075,0,0,,MBA
Hermentaria,S,2.796,0.102,0,0,10.286,MBA
Hekate,S,3.087,0.169,0,0,,MBA
Vaticana,Sl,2.792,0.218,0,0,10.088,MBA
Hera,S,2.702,0.079,0,0,,MBA
Pomona,S,2.589,0.081,0,0,,MBA
Thyra,S,2.38,0.193,0,0,,MBA
Ludmilla,S,2.769,0.204,0,0,9.817,MBA
Vera,S,3.096,0.196,0,0,,MBA
Hecuba,Sl,3.237,0.055,0,0,,OMB
Industria,S,2.608,0.067,0,0,10.072,MBA
Cyrene,S,3.064,0.135,0,0,,MBA
Sirona,Sk,2.766,0.142,0,0,,MBA
Sappho,S,2.296,0.2,0,0,,MBA
Helena,S,2.584,0.14,0,0,,MBA
Phaedra,S,2.862,0.141,0,0,,MBA
Tyche,S,2.616,0.204,0,0,,MBA
Genua,S,2.749,0.192,0,0,10.276,MBA
Eurynome,S,2.447,0.19,0,0,,MBA
Libussa,S,2.797,0.137,0,0,,MBA
Alkmene,Sq,2.763,0.22,0,0,,MBA
Alphonsina,S,2.702,0.079,0,0,11.939,MBA
Althaea,Sl,2.581,0.08,0,0,,MBA
Ampella,S,2.459,0.227,0,0,,MBA
Semiramis,Sl,2.374,0.233,0,0,8.979,MBA
Cyane,S,2.809,0.098,0,0,10.358,MBA
Suleika,Sl,2.712,0.236,0,0,9.588,MBA
Bohemia,S,2.728,0.065,0,0,10.242,MBA
Iolanda,S,3.064,0.095,0,0,11.425,MBA
Philippina,S,2.793,0.082,0,0,11.666,MBA
Amalthea,S,2.376,0.087,0,0,,MBA
Arequipa,S,2.59,0.245,0,0,9.533,MBA
Pythia,S,2.369,0.146,0,0,9.604,MBA
Pierretta,Sk,2.782,0.16,0,0,,MBA
Justitia,Ld,2.616,0.213,0,0,,MBA
Brunhild,S,2.695,0.12,0,0,,MBA
Burgundia,S,2.78,0.08,0,0,10.386,MBA
Marconia,Ld,3.063,0.132,0,0,10.224,MBA
Coelestina,S,2.763,0.071,0,0,,MBA
Peitho,S,2.437,0.165,0,0,,MBA
Sylvania,S,2.791,0.183,0,0,10.076,MBA
Lacrimosa,Sk,2.892,0.012,0,0,,MBA
Urda,Sk,2.852,0.037,0,0,,MBA
Elsa,S,2.416,0.186,0,0,,MBA
Abundantia,Sl,2.592,0.033,0,0,,MBA
Koronis,S,2.871,0.052,0,0,,MBA
Abnoba,S,2.789,0.179,0,0,10.485,MBA
Ganymed,S,2.664,0.533,0,0,10.369,AMO
Edda,S,2.814,0.011,0,0,10.4,MBA
Zelia,Sl,2.358,0.131,0,0,,MBA
Pepita,S,3.069,0.111,0,0,11.411,MBA
Phyllis,S,2.464,0.104,0,0,9.415,MBA
Bandusia,S,2.67,0.145,0,0,10.266,MBA
Ottegebe,S,2.801,0.194,0,0,9.743,MBA
Belisana,S,2.461,0.043,0,0,,MBA
Menippe,S,2.761,0.179,0,0,,MBA
Planckia,S,3.127,0.11,0,0,11.2,MBA
Geometria,Sl,2.289,0.172,0,0,8.679,MBA
Burdigala,S,2.651,0.149,0,0,9.586,MBA
Turnera,Sq,3.021,0.101,0,0,10.807,MBA
Eriphyla,S,2.872,0.088,0,0,10.161,MBA
Bohlinia,Sq,2.886,0.019,0,0,10.47,MBA
Margarita,S,2.762,0.113,0,0,,MBA
Zelima,S,3.019,0.084,0,0,10.902,MBA
Maria,S,2.554,0.064,0,0,,MBA
Istria,S,2.791,0.35,0,0,,MBA
Paulina,S,2.756,0.132,0,0,,MBA
Gretia,Sr,2.802,0.197,0,0,9.845,MBA
Aaltje,Sl,2.954,0.051,0,0,10.751,MBA
Nassovia,Sq,2.884,0.059,0,0,10.316,MBA
Arete,S,2.738,0.164,0,0,,MBA
Weringia,S,2.712,0.204,0,0,,MBA
Merxia,Sq,2.744,0.129,0,0,9.811,MBA
Sara,S,2.978,0.045,0,0,10.673,MBA
Columbia,Sl,2.776,0.061,0,0,,MBA
Pittsburghia,S,2.667,0.058,0,0,10.665,MBA
Arduina,S,2.764,0.227,0,0,9.425,MBA
Crimea,S,2.772,0.113,0,0,10.764,MBA
Glauke,S,2.762,0.205,0,0,,MBA
Jugurtha,S,2.722,0.017,0,0,10.596,MBA
Theresia,S,2.795,0.171,0,0,,MBA
Punkaharju,S,2.785,0.259,0,0,10.306,MBA
Florentina,S,2.885,0.047,0,0,,MBA
Holmia,S,2.776,0.13,0,0,9.985,MBA
Kilia,S,2.405,0.094,0,0,9.463,MBA
Franzia,S,2.803,0.082,0,0,10.935,MBA
Gisela,Sl,2.194,0.15,0,0,8.455,MBA
Arizona,S,2.795,0.125,0,0,10.956,MBA
Ambrosia,Sk,2.603,0.297,0,0,,MBA
Barcelona,Sq,2.636,0.163,0,0,13.967,MBA
Photographica,Sl,2.215,0.041,0,0,9.08,MBA
Musa,S,2.661,0.056,0,0,10.407,MBA
Agnia,S,2.782,0.096,0,0,9.956,MBA
Lysistrata,Sl,2.542,0.095,0,0,10.499,MBA
Gabriella,S,2.537,0.106,0,0,9.508,MBA
Tea,S,2.183,0.109,0,0,8.742,MBA
Dresda,S,2.887,0.078,0,0,,MBA
Garumna,Sq,2.722,0.167,0,0,,MBA
Taurinensis,S,2.189,0.254,0,0,8.218,MCA
Italia,S,2.416,0.188,0,0,8.888,MBA
Xenia,Sa,2.644,0.228,0,0,9.695,MBA
Komppa,Ld,2.699,0.096,0,0,10.518,MBA
Esther,S,2.414,0.243,0,0,8.817,MBA
Zeelandia,S,2.849,0.065,0,0,10.227,MBA
Montana,S,2.535,0.061,0,0,9.725,MBA
Otthild,S,2.529,0.116,0,0,10.518,MBA
Berkeley,S,2.815,0.086,0,0,10.368,MBA
Jose,S,2.86,0.08,0,0,10.17,MBA
Gelria,S,2.741,0.107,0,0,10.031,MBA
Eliane,S,2.617,0.173,0,0,10.238,MBA
Kenya,S,2.405,0.263,0,0,8.895,MBA
Celestia,S,2.694,0.208,0,0,13.983,MBA
Laplace,S,2.646,0.116,0,0,10.258,MBA
Schilt,S,2.548,0.172,0,0,10.08,MBA
Dawn,S,2.869,0.027,0,0,10.428,MBA
Shura,Sq,2.78,0.074,0,0,10.316,MBA
Mineura,S,2.627,0.18,0,0,9.979,MBA
Pawona,Sl,2.426,0.042,0,0,9.615,MBA
Bohrmann,S,2.854,0.058,0,0,10.236,MBA
Delvaux,S,2.87,0.046,0,0,10.308,MBA
Ilmari,S,2.627,0.079,0,0,10.111,MBA
Rosselia,Sa,2.857,0.089,0,0,10.121,MBA
Hoffmann,Sr,2.743,0.172,0,0,9.571,MBA
Michel,Sl,2.792,0.137,0,0,9.95,MBA
Hill,S,2.752,0.066,0,0,10.575,MBA
Proserpina,S,2.654,0.09,0,0,,MBA
Cetacea,Sq,2.534,0.156,0,0,10.306,MBA
Ingeborg,S,2.32,0.305,0,0,10.401,MCA
Heidi,S,2.792,0.093,0,0,10.239,MBA
Hela,Sq,2.611,0.41,0,0,8.969,MCA
Sumoto,S,2.743,0.122,0,0,10.844,MBA
Mitaka,S,2.202,0.196,0,0,8.487,MBA
Phocaea,S,2.4,0.255,0,0,,MBA
Liszt,S,2.794,0.133,0,0,10.124,MBA
